"indicator_id","indicator","unit","indicator_desc","source_org","source_id","source"
"account.t.d.2","Account, male (% age 15+)",NA,"The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), male (% age 15+)","Global Findex database",28,"Global Financial Inclusion"
"account.t.d.3","Account, young (% ages 15-24)",NA,"The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), young (% ages 15-24)","Global Findex database",28,"Global Financial Inclusion"
"account.t.d.4","Account, older (% age 25+)",NA,"The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), older (% age 25+)","Global Findex database",28,"Global Financial Inclusion"
"account.t.d.5","Account, primary education or less (% ages 15+)",NA,"The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), primary education or less (% ages 15+)","Global Findex database",28,"Global Financial Inclusion"
"account.t.d.6","Account, secondary education or more (% ages 15+)",NA,"The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), secondary education or more (% ages 15+)","Global Findex database",28,"Global Financial Inclusion"
"account.t.d.7","Account, income, poorest 40% (% ages 15+)",NA,"The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), poorest 40% (% ages 15+)","Global Findex database",28,"Global Financial Inclusion"
"account.t.d.8","Account, income, richest 60% (% ages 15+)",NA,"The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), richest 60% (% ages 15+)","Global Findex database",28,"Global Financial Inclusion"
"account_t_d","Account (% age 15+)",NA,NA,NA,33,"G20 Financial Inclusion Indicators"
"account_t_d_1","Account, female (% age 15+)",NA,NA,NA,33,"G20 Financial Inclusion Indicators"
"account_t_d_2","Account, male (% age 15+)",NA,NA,NA,33,"G20 Financial Inclusion Indicators"
"account_t_d_3","Account, income, poorest 40% (% age 15+)",NA,NA,NA,33,"G20 Financial Inclusion Indicators"
"account_t_d_4","Account, income, richest 60% (% age 15+)",NA,NA,NA,33,"G20 Financial Inclusion Indicators"
"account_t_d_5","Account (% ages 15-34)",NA,NA,NA,33,"G20 Financial Inclusion Indicators"
"account_t_d_6","Account (% ages 35-59)",NA,NA,NA,33,"G20 Financial Inclusion Indicators"
"account_t_d_7","Account (% age 60+)",NA,NA,NA,33,"G20 Financial Inclusion Indicators"
"AG.AGR.TRAC.NO","Agricultural machinery, tractors",NA,"Agricultural machinery refers to the number of wheel and crawler tractors (excluding garden tractors) in use in agriculture at the end of the calendar year specified or during the first quarter of the following year.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.CON.FERT.PT.ZS","Fertilizer consumption (% of fertilizer production)",NA,"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.CON.FERT.ZS","Fertilizer consumption (kilograms per hectare of arable land)",NA,"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.AGRI.K2","Agricultural land (sq. km)",NA,"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.AGRI.ZS","Agricultural land (% of land area)",NA,"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.ARBL.HA","Arable land (hectares)",NA,"Arable land (in hectares) includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.ARBL.HA.PC","Arable land (hectares per person)",NA,"Arable land (hectares per person) includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.ARBL.ZS","Arable land (% of land area)",NA,"Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.CREL.HA","Land under cereal production (hectares)",NA,"Land under cereal production refers to harvested area, although some countries report only sown or cultivated area. Cereals include wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.CROP.ZS","Permanent cropland (% of land area)",NA,"Permanent cropland is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.EL5M.RU.K2","Rural land area where elevation is below 5 meters (sq. km)",NA,"Rural land area below 5m is the total rural land area in square kilometers where the elevation is 5 meters or less.","Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.",2,"World Development Indicators"
"AG.LND.EL5M.RU.ZS","Rural land area where elevation is below 5 meters (% of total land area)",NA,"Rural land area below 5m is the percentage of total land where the rural land elevation is 5 meters or less.","Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.",2,"World Development Indicators"
"AG.LND.EL5M.UR.K2","Urban land area where elevation is below 5 meters (sq. km)",NA,"Urban land area below 5m is the total urban land area in square kilometers where the elevation is 5 meters or less.","Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.",2,"World Development Indicators"
"AG.LND.EL5M.UR.ZS","Urban land area where elevation is below 5 meters (% of total land area)",NA,"Urban land area below 5m is the percentage of total land where the urban land elevation is 5 meters or less.","Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.",2,"World Development Indicators"
"AG.LND.EL5M.ZS","Land area where elevation is below 5 meters (% of total land area)",NA,"Land area below 5m is the percentage of total land where the elevation is 5 meters or less.","Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.",2,"World Development Indicators"
"AG.LND.FRLS.HA","Tree Cover Loss (hectares)",NA,"Shows year-by-year tree cover loss, defined as stand level replacement of vegetation greater than 5 meters, within the selected area. The tree cover loss data set is a collaboration of the University of Maryland, Google, USGS, and NASA, and uses Landsat satellite images to map annual tree cover loss at a 30 × 30 meter resolution. Note that “tree cover loss” is not the same as “deforestation” – tree cover loss includes change in both natural and planted forest, and does not need to be human caused. The data from 2011 onward were produced with an updated methodology that may capture additional loss. Comparisons between the original 2001-2010 data and future years should be performed with caution.","Global Forest Watch. Tree Cover Loss (Hansen/UMD/Google/USGS/NASA).",75,"Environment, Social and Governance (ESG) Data"
"AG.LND.FRST.K2","Forest area (sq. km)",NA,"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.FRST.ZS","Forest area (% of land area)",NA,"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.IRIG.AG.ZS","Agricultural irrigated land (% of total agricultural land)",NA,"Agricultural irrigated land refers to agricultural areas purposely provided with water, including land irrigated by controlled flooding.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.PRCP.MM","Average precipitation in depth (mm per year)",NA,"Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.TOTL.K2","Land area (sq. km)",NA,"Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.TOTL.RU.K2","Rural land area (sq. km)",NA,"Rural land area in square kilometers, derived from urban extent grids which distinguish urban and rural areas based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",2,"World Development Indicators"
"AG.LND.TOTL.UR.K2","Urban land area (sq. km)",NA,"Urban land area in square kilometers, based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",2,"World Development Indicators"
"AG.LND.TRAC.ZS","Agricultural machinery, tractors per 100 sq. km of arable land",NA,"Agricultural machinery refers to the number of wheel and crawler tractors (excluding garden tractors) in use in agriculture at the end of the calendar year specified or during the first quarter of the following year. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.PRD.CREL.MT","Cereal production (metric tons)",NA,"Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.PRD.CROP.XD","Crop production index (2014-2016 = 100)",NA,"Crop production index shows agricultural production for each year relative to the base period 2014-2016. It includes all crops except fodder crops. Regional and income group aggregates for the FAO's production indexes are calculated from the underlying values in international dollars, normalized to the base period 2014-2016.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.PRD.FOOD.XD","Food production index (2014-2016 = 100)",NA,"Food production index covers food crops that are considered edible and that contain nutrients. Coffee and tea are excluded because, although edible, they have no nutritive value.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.PRD.LVSK.XD","Livestock production index (2014-2016 = 100)",NA,"Livestock production index includes meat and milk from all sources, dairy products such as cheese, and eggs, honey, raw silk, wool, and hides and skins.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.SRF.TOTL.K2","Surface area (sq. km)",NA,"Surface area is a country's total area, including areas under inland bodies of water and some coastal waterways.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.YLD.CREL.KG","Cereal yield (kg per hectare)",NA,"Cereal yield, measured as kilograms per hectare of harvested land, includes wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded. The FAO allocates production data to the calendar year in which the bulk of the harvest took place. Most of a crop harvested near the end of a year will be used in the following year.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"BAR.NOED.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with no education",NA,"Percentage of female population age 15-19 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.1519.ZS","Barro-Lee: Percentage of population age 15-19 with no education",NA,"Percentage of population age 15-19 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with no education",NA,"Percentage of female population age 15+ with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.15UP.ZS","Barro-Lee: Percentage of population age 15+ with no education",NA,"Percentage of population age 15+ with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with no education",NA,"Percentage of female population age 20-24 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.2024.ZS","Barro-Lee: Percentage of population age 20-24 with no education",NA,"Percentage of population age 20-24 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with no education",NA,"Percentage of female population age 25-29 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.2529.ZS","Barro-Lee: Percentage of population age 25-29 with no education",NA,"Percentage of population age 25-29 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with no education",NA,"Percentage of female population age 25+ with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.25UP.ZS","Barro-Lee: Percentage of population age 25+ with no education",NA,"Percentage of population age 25+ with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with no education",NA,"Percentage of female population age 30-34 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.3034.ZS","Barro-Lee: Percentage of population age 30-34 with no education",NA,"Percentage of population age 30-34 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with no education",NA,"Percentage of female population age 35-39 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.3539.ZS","Barro-Lee: Percentage of population age 35-39 with no education",NA,"Percentage of population age 35-39 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with no education",NA,"Percentage of female population age 40-44 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.4044.ZS","Barro-Lee: Percentage of population age 40-44 with no education",NA,"Percentage of population age 40-44 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with no education",NA,"Percentage of female population age 45-49 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.4549.ZS","Barro-Lee: Percentage of population age 45-49 with no education",NA,"Percentage of population age 45-49 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with no education",NA,"Percentage of female population age 50-54 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.5054.ZS","Barro-Lee: Percentage of population age 50-54 with no education",NA,"Percentage of population age 50-54 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with no education",NA,"Percentage of female population age 55-59 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.5559.ZS","Barro-Lee: Percentage of population age 55-59 with no education",NA,"Percentage of population age 55-59 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with no education",NA,"Percentage of female population age 60-64 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.6064.ZS","Barro-Lee: Percentage of population age 60-64 with no education",NA,"Percentage of population age 60-64 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with no education",NA,"Percentage of female population age 65-69 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.6569.ZS","Barro-Lee: Percentage of population age 65-69 with no education",NA,"Percentage of population age 65-69 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with no education",NA,"Percentage of female population age 70-74 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.7074.ZS","Barro-Lee: Percentage of population age 70-74 with no education",NA,"Percentage of population age 70-74 with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with no education",NA,"Percentage of female population age 75+ with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.NOED.75UP.ZS","Barro-Lee: Percentage of population age 75+ with no education",NA,"Percentage of population age 75+ with no education","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.POP.1519","Barro-Lee: Population in thousands, age 15-19, total",NA,"Population in thousands, age 15-19, total is the total population of 15-19 year olds in thousands estimated by Barro-Lee.","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.POP.1519.FE","Barro-Lee: Population in thousands, age 15-19, female",NA,"Population in thousands, age 15-19, female is the female population of 15-19 year olds in thousands estimated by Barro-Lee.","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.POP.15UP","Barro-Lee: Population in thousands, age 15+, total",NA,"Population in thousands, age 15+, total is the total population over age 15 in thousands estimated by Barro-Lee.","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.POP.15UP.FE","Barro-Lee: Population in thousands, age 15+, female",NA,"Population in thousands, age 15+, female is the female population over age 15 in thousands estimated by Barro-Lee.","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.POP.2024","Barro-Lee: Population in thousands, age 20-24, total",NA,"Population in thousands, age 20-24, total is the total population of 20-24 year olds in thousands estimated by Barro-Lee.","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.POP.2024.FE","Barro-Lee: Population in thousands, age 20-24, female",NA,"Population in thousands, age 20-24, female is the female population of 20-24 year olds in thousands estimated by Barro-Lee.","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.POP.2529","Barro-Lee: Population in thousands, age 25-29, total",NA,"Population in thousands, age 25-29, total is the total population of 25-29 year olds in thousands estimated by Barro-Lee.","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
"BAR.POP.2529.FE","Barro-Lee: Population in thousands, age 25-29, female",NA,"Population in thousands, age 25-29, female is the female population of 25-29 year olds in thousands estimated by Barro-Lee.","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/",12,"Education Statistics"
