Taxon,Region,LifeForm,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source
Antithamnionella spirographidis,Ireland,Algae,,1969,1969,,aquaNIS
Antithamnionella spirographidis,Netherlands,Algae,,1974,1974,,aquaNIS
Antithamnionella spirographidis,Spain,Algae,,1927,1927,,aquaNIS
Antithamnionella spirographidis,United Kingdom,Algae,established,1931,1931,,Roy H et al. (2012) 
Antithamnionella ternifolia,Belgium,Algae,,1970,1970,,aquaNIS
Antithamnionella ternifolia,France,Algae,,1910,1910,,aquaNIS
Antithamnionella ternifolia,Germany,Algae,,1958,1958 - 1958,,Rabitsch & Nehring 2017
Antithamnionella ternifolia,Ireland,Algae,established,1930,1930,,DAISIE
Antithamnionella ternifolia,Netherlands,Algae,,1951,1951,,aquaNIS
Antithamnionella ternifolia,Portugal,Algae,alien,1970,1970,,DAISIE
Antithamnionella ternifolia,Spain,Algae,alien,1925,1920 - 1929,NEW_random,DAISIE
Antithamnionella ternifolia,United Kingdom,Algae,established,1906,1906,,Roy H et al. (2012) 
Antithamnion nipponicum,Azores,Algae,alien,1991,1991,,DAISIE
Antithamnion nipponicum,Norway,Algae,,2007,2007,,aquaNIS
Antithamnion pectinatum,Azores,Algae,alien,1989,1989,,DAISIE
Antithamnion pectinatum,France,Algae,established,1988,1988,,DAISIE
Antithamnion pectinatum,Italy,Algae,established,1994,1994,,DAISIE
Apedinella radians,Bulgaria,Algae,,1987,1987,,aquaNIS
Apedinella radians,Romania,Algae,,1991,1991,,aquaNIS
Apedinella spinifera,Ukraine,Algae,,1999,1999,,DAISIE
Asparagopsis armata,Azores,Algae,alien,1952,1952,,DAISIE
Asparagopsis armata,Canary Islands,Algae,established,1980,1980,,DAISIE
Asparagopsis armata,Channel Islands,Algae,,1949,1949,,aquaNIS
Asparagopsis armata,Cyprus,Algae,casual,1998,1998,,DAISIE
Asparagopsis armata,France,Algae,,1922,1922,,aquaNIS
Asparagopsis armata,Greece,Algae,established,1972,1972,,DAISIE
Asparagopsis armata,Ireland,Algae,,1939,1939,,aquaNIS
Asparagopsis armata,Malta,Algae,established,1994,1994,,DAISIE
Asparagopsis armata,Netherlands,Algae,casual,1983,1983,,DAISIE
Asparagopsis armata,Spain,Algae,established,1921,1920 - 1929,NEW_random,DAISIE
Asparagopsis armata,Tunisia,Algae,established,1974,1973 - 1975,NEW_random,DAISIE
Asparagopsis armata,Turkey,Algae,,1969,1969,,Cinar et al. (2005)
Asparagopsis armata,United Kingdom,Algae,established,1949,1949,,Roy H et al. (2012) 
Asparagopsis taxiformis,Azores,Algae,established,1989,1989,,DAISIE
Asparagopsis taxiformis,Portugal,Algae,alien,1990,1990,,DAISIE
Asparagopsis taxiformis,Turkey,Algae,,2001,2001,,Cinar et al. (2005)
Asparagopsis taxiformis,Hawaiian Islands,Algae,,1991,1991,,Carlton & Eldrege (2009)
Asperococcus bullosus,New Zealand,Algae,,1957,1957,,Williams (2007)
Asperococcus compressus,Australia,Algae,,1976,1976,,Hewitt et al. (2004)
Asperococcus scaber,Netherlands,Algae,,1998,1998,,aquaNIS
Astacolus insolithus,Turkey,Algae,,2004,2004,,Cinar et al. (2005)
Astacolus sublegumen,Turkey,Algae,,2004,2004,,Cinar et al. (2005)
Asterionellopsis glacialis,Romania,Algae,,1968,1968,,aquaNIS
Asterionellopsis glacialis,Russia,Algae,,1998,1998,,aquaNIS
Asterionellopsis glacialis,Ukraine,Algae,,1967,1967,,DAISIE
Asteromphalus sarcophagus,France,Algae,,2003,2003,,aquaNIS
Attheya decora,Ukraine,Algae,,2000,2000,,aquaNIS
Audouinella codicola,France,Algae,established,1950,1950,,DAISIE
Audouinella codicola,Tunisia,Algae,established,1975,1973 - 1975,NEW_random,DAISIE
Audouinella robusta,Egypt,Algae,established,1944,1944,,DAISIE
Audouinella spathoglossi,Egypt,Algae,established,1944,1944,,DAISIE
Audouinella subseriata,Egypt,Algae,established,1944,1944,,DAISIE
Avrainvillea amadelpha,Hawaiian Islands,Algae,,1981,1981,,Carlton & Eldrege (2009)
Azadinium spinosum,Bulgaria,Algae,,2005,2005,,aquaNIS
Bacteriastrum hyalinum,Bulgaria,Algae,,1907,1907,,aquaNIS
Bacteriastrum hyalinum,Romania,Algae,,1907,1907,,aquaNIS
Bacteriastrum hyalinum,Ukraine,Algae,,1907,1907,,DAISIE
Bonnemaisonia asparagoides,Turkey,Algae,,1996,1990 - 1999,NEW_random,aquaNIS
Bonnemaisonia hamifera,Azores,Algae,alien,1989,1989,,DAISIE
Bonnemaisonia hamifera,Canary Islands,Algae,established,1980,1980,,DAISIE
Bonnemaisonia hamifera,Denmark,Algae,established,1907,1907,,DAISIE
Bonnemaisonia hamifera,Faroe Islands,Algae,,1980,1980,,aquaNIS
Bonnemaisonia hamifera,France,Algae,,1898,1898,,aquaNIS
Bonnemaisonia hamifera,Germany,Algae,,1900,1900 - 1900,,Rabitsch & Nehring 2017
Bonnemaisonia hamifera,Ireland,Algae,,1911,1911,,aquaNIS
Bonnemaisonia hamifera,Netherlands,Algae,casual,1983,1983,,DAISIE
Bonnemaisonia hamifera,Norway,Algae,,1902,1902,,aquaNIS
Bonnemaisonia hamifera,Spain,Algae,established,2006,2006,,DAISIE
Bonnemaisonia hamifera,Sweden,Algae,,1902,1902,,aquaNIS
Bonnemaisonia hamifera,Turkey,Algae,,1986,1986,,Cinar et al. (2005)
Bonnemaisonia hamifera,United Kingdom,Algae,established,1896,1896,,Roy H et al. (2012) 
Botryocladia madagascariensis,Italy,Algae,,1991,1991,,DAISIE
Botryocladia madagascariensis,Malta,Algae,established,1994,1994,,DAISIE
Botryocladia madagascariensis,Turkey,Algae,,2000,2000,,Cinar et al. (2005)
Bryopsis pennata,Turkey,Algae,,1978,1978,,Cinar et al. (2005)
Callithamnion tetragonum,Germany,Algae,,2007,2007 - 2007,,Rabitsch & Nehring 2017
Caulacanthus ustulatus,France,Algae,,1986,1986,,aquaNIS
Caulacanthus ustulatus,United Kingdom,Algae,,2004,2004,,aquaNIS
Caulerpa mexicana,Israel,Algae,established,1939,1939,,DAISIE
Caulerpa mexicana,Lebanon,Algae,established,1941,1941,,DAISIE
Caulerpa ollivieri,Bahamas,Algae,,2003,2003,,Williams (2007)
Caulerpa ollivieri,Mexico,Algae,,1971,1971,,Williams (2007)
Caulerpa ollivieri,United States,Algae,,1971,1971,,Williams (2007)
Caulerpa racemosa,Canary Islands,Algae,alien,1989,1989,,DAISIE
Caulerpa racemosa,Croatia,Algae,established,2000,2000,,DAISIE
Caulerpa racemosa,Cyprus,Algae,established,1972,1972 - 1973,NEW_random,DAISIE
Caulerpa racemosa,Egypt,Algae,established,1944,1944,,DAISIE
Caulerpa racemosa,France,Algae,established,1997,1997,,DAISIE
Caulerpa racemosa,Greece,Algae,established,1956,1956,,DAISIE
Caulerpa racemosa,Israel,Algae,established,1955,1955,,DAISIE
Caulerpa racemosa,Italy,Algae,established,1993,1993,,DAISIE
Caulerpa racemosa,Lebanon,Algae,established,1931,1931,,DAISIE
Caulerpa racemosa,Malta,Algae,established,1990,1990 - 1999,NEW_random,DAISIE
Caulerpa racemosa,Spain,Algae,established,1998,1998,,DAISIE
Caulerpa racemosa,Syria,Algae,established,1954,1954,,DAISIE
Caulerpa racemosa,Tunisia,Algae,established,1926,1926,,DAISIE
Caulerpa racemosa,Turkey,Algae,established,1980,1980,,DAISIE
Caulerpa scalpelliformis,Israel,Algae,established,1929,1929,,DAISIE
Caulerpa scalpelliformis,Lebanon,Algae,established,1930,1930,,DAISIE
Caulerpa scalpelliformis,Turkey,Algae,extinct,1995,1995,,DAISIE
Caulerpa taxifolia,Australia,Algae,,2000,2000,,CABI ISC
Caulerpa taxifolia,Balearic Islands,Algae,,1992,1992,,CABI ISC
Caulerpa taxifolia,Croatia,Algae,,1994,1994,,CABI ISC
Caulerpa taxifolia,France,Algae,established,1984,1984,,DAISIE
Caulerpa taxifolia,Italy,Algae,established,1992,1992,,DAISIE
Caulerpa taxifolia,Monaco,Algae,,1984,1984,,CABI ISC
Caulerpa taxifolia,Tunisia,Algae,,2000,2000,,CABI ISC
Caulerpa taxifolia,United States,Algae,,2000,2000,,Williams (2007)
Caulerpa webbiana,Azores,Algae,,2002,2002,,DAISIE
Cephaloidophora communis,Hawaiian Islands,Algae,,1949,1949,,Carlton & Eldrege (2009)
Ceramium cimbricum,Germany,Algae,,2010,2010 - 2010,,Rabitsch & Nehring 2017
Ceramium strobiliforme,Italy,Algae,,1991,1991,,DAISIE
Ceratium candelabrum,France,Algae,alien,2005,2005 - 2005,,DAISIE
Chaetoceros aequatorialis,Bulgaria,Algae,,2011,2011,,aquaNIS
Chaetoceros aequatorialis,Russia,Algae,,2004,2004,,aquaNIS
Chaetoceros coarctatus,Turkey,Algae,,1987,1987,,Cinar et al. (2005)
Chaetoceros concavicornis,China,Algae,,1996,1996,,Xu et al. (2012)
Chaetoceros diversus,Georgia,Algae,,2000,2000,,aquaNIS
Chaetoceros diversus,Ukraine,Algae,,1999,1999,,DAISIE
Chaetoceros peruvianus,France,Algae,,2003,2003,,aquaNIS
Chaetoceros rostratus,France,Algae,,2003,2003,,aquaNIS
Chaetoceros throndsenii,Russia,Algae,,2005,2005,,aquaNIS
Chaetoceros tortissimus,Russia,Algae,,2000,2000,,aquaNIS
Chaetoceros tortissimus,Turkey,Algae,,1996,1995 - 1996,NEW_random,aquaNIS
Chaetoceros tortissimus,Ukraine,Algae,,2001,2001,,DAISIE
Chara braunii,United Kingdom,Algae,extinct,1883,1883,,Roy H et al. (2012) 
Chara connivens,Finland,Algae,,2004,2004,,aquaNIS
Chara connivens,Germany,Algae,,1858,1858 - 1858,,Rabitsch & Nehring 2017
Chara connivens,Latvia,Algae,,1922,1920 - 1924,NEW_random,aquaNIS
Chara connivens,Poland,Algae,,1903,1900 - 1907,NEW_random,aquaNIS
Chara connivens,Sweden,Algae,established,1850,1850 - 1850,,DAISIE
Chattonella antiqua,Germany,Algae,established,1991,1991 - 1991,,DAISIE
Chattonella antiqua,Netherlands,Algae,established,1991,1991,,DAISIE
Chattonella marina,Germany,Algae,,1991,1991,,aquaNIS
Chattonella marina,Netherlands,Algae,established,1991,1991,,DAISIE
Chondria arcuata,Australia,Algae,,1975,1975,,Hewitt et al. (2004)
Chondria coerulescens,Cyprus,Algae,alien,2008,2008,,DAISIE
Chondria coerulescens,Lebanon,Algae,established,1973,1973,,DAISIE
Chondria collinsiana,Greece,Algae,established,1982,1982,,DAISIE
Chondria collinsiana,Turkey,Algae,,1986,1986,,Cinar et al. (2005)
Chondria curvilineata,France,Algae,established,1981,1981,,DAISIE
Chondria polyrhiza,Greece,Algae,established,1982,1982,,DAISIE
Chondria polyrhiza,Italy,Algae,established,1992,1992,,DAISIE
Chondria pygmaea,Italy,Algae,,1991,1991,,DAISIE
Chondria pygmaea,Malta,Algae,established,1994,1994,,DAISIE
Chondrophycus papillosus,Turkey,Algae,,1957,1957,,Cinar et al. (2005)
Chondrus giganteus,France,Algae,established,1993,1993 - 1994,NEW_random,DAISIE
Chorda filum,France,Algae,established,1981,1981,,DAISIE
Chorda filum,Turkey,Algae,,1986,1986,,Cinar et al. (2005)
Chrysymenia ventricosa,Turkey,Algae,,1992,1990 - 1999,NEW_random,aquaNIS
Chrysymenia wrightii,France,Algae,established,1960,1960,,DAISIE
Cladophora boodleoides,Turkey,Algae,,1996,1996,,Cinar et al. (2005)
Cladophora flexuosa,Turkey,Algae,,1993,1990 - 1999,NEW_random,aquaNIS
Cladophora hutchinsiae,Bulgaria,Algae,,1938,1938,,aquaNIS
Cladophora patentiramea,Cyprus,Algae,casual,1991,1991,,DAISIE
Cladophora prolifera,Australia,Algae,,1964,1964,,Hewitt et al. (2004)
Cladophoropsis javanica,Egypt,Algae,established,1948,1948,,DAISIE
Cladophoropsis membranacea,Azores,Algae,alien,1973,1973,,DAISIE
Cladosiphon zosterae,France,Algae,,1998,1998,,DAISIE
Cocconeis britannica,Ukraine,Algae,,1902,1902,,DAISIE
Cochlodinium polykrikoides,Bulgaria,Algae,,2008,2008,,aquaNIS
Cochlodinium polykrikoides,Russia,Algae,,2000,2000,,aquaNIS
Cochlodinium polykrikoides,Ukraine,Algae,,2001,2001,,DAISIE
Codium adherens,Spain,Algae,alien,2006,2006,,DAISIE
Codium arabicum,Israel,Algae,alien,2007,2007,,GISD
Codium fragile,Australia,Algae,,1997,1997,,Hewitt et al. (2004)
Codium fragile,Belgium,Algae,casual,1939,1939 - 1939,,DAISIE
Codium fragile,Canada,Algae,alien,1989,1989,,GISD
Codium fragile,Denmark,Algae,established,1919,1919 - 1919,,DAISIE
Codium fragile,France,Algae,established,1943,1940 - 1949,NEW_random,DAISIE
Codium fragile,Germany,Algae,,1930,1930 - 1930,,Rabitsch & Nehring 2017
Codium fragile,Iceland,Algae,,1974,1974,,aquaNIS
Codium fragile,Ireland,Algae,established,1808,1808,,DAISIE
Codium fragile,Netherlands,Algae,,1900,1900,,aquaNIS
Codium fragile,Norway,Algae,,1895,1895,,aquaNIS
Codium fragile,Slovenia,Algae,established,1991,1991,,DAISIE
Codium fragile,Spain,Algae,established,1957,1957,,DAISIE
Codium fragile,Sweden,Algae,,1932,1932,,aquaNIS
Codium fragile,Tunisia,Algae,,1985,1985,,DAISIE
Codium fragile,Turkey,Algae,established,1983,1983,,DAISIE
Codium fragile,United Kingdom,Algae,established,1839,1839,,Roy H et al. (2012) 
Codium parvulum,Israel,Algae,alien,2004,2004,,GISD
Codium taylorii,Israel,Algae,alien,1955,1955,,GISD
Codium vermilara,Azores,Algae,established,1995,1995,,DAISIE
Colaconema codicola,Turkey,Algae,,1994,1994,,aquaNIS
Colpomenia peregrina,Azores,Algae,alien,1994,1994,,DAISIE
Colpomenia peregrina,Canary Islands,Algae,alien,1978,1978,,DAISIE
Colpomenia peregrina,Denmark,Algae,,1939,1939,,aquaNIS
Colpomenia peregrina,France,Algae,,1905,1905,,aquaNIS
Colpomenia peregrina,Germany,Algae,,1905,1905,,aquaNIS
Colpomenia peregrina,Greece,Algae,established,2002,2001 - 2003,NEW_random,DAISIE
Colpomenia peregrina,Ireland,Algae,established,1935,1935,,DAISIE
Colpomenia peregrina,Netherlands,Algae,,1921,1921,,aquaNIS
Colpomenia peregrina,Norway,Algae,,1933,1933,,aquaNIS
Colpomenia peregrina,Portugal,Algae,established,1970,1970,,DAISIE
Colpomenia peregrina,Spain,Algae,established,1960,1960,,DAISIE
Colpomenia peregrina,Sweden,Algae,,1950,1950,,aquaNIS
Colpomenia peregrina,United Kingdom,Algae,established,1907,1907,,Roy H et al. (2012) 
Compsopogon caeruleus,Germany,Algae,,1963,1963 - 1966,NEW_random,Rabitsch & Nehring 2017
Corethron pennatum,Germany,Algae,,1990,1990 - 1990,,Rabitsch & Nehring 2017
Corynophlaea umbellata,United Kingdom,Algae,established,1999,1999,,Roy H et al. (2012) 
Corynophlaea verruculiformis,Netherlands,Algae,,1994,1994,,aquaNIS
Coscinodiscus wailesii,Belgium,Algae,,1978,1977 - 1978,NEW_random,aquaNIS
Coscinodiscus wailesii,Denmark,Algae,,1989,1983 - 1989,NEW_random,aquaNIS
Coscinodiscus wailesii,France,Algae,,1978,1978,,aquaNIS
Coscinodiscus wailesii,Germany,Algae,,1977,1977 - 1978,NEW_random,Rabitsch & Nehring 2017
Coscinodiscus wailesii,Ireland,Algae,established,1979,1979,,DAISIE
Coscinodiscus wailesii,Netherlands,Algae,,1978,1978,,aquaNIS
Coscinodiscus wailesii,Norway,Algae,,1979,1979,,aquaNIS
Coscinodiscus wailesii,Sweden,Algae,,1977,1977,,aquaNIS
Cryptonemia hibernica,Ireland,Algae,,1971,1971,,aquaNIS
Cryptonemia hibernica,United Kingdom,Algae,established,2004,2004,,Roy H et al. (2012) 
Dasya baillouviana,Denmark,Algae,,1961,1961,,aquaNIS
Dasya baillouviana,Germany,Algae,,2002,2002 - 2002,,Rabitsch & Nehring 2017
Dasya baillouviana,Netherlands,Algae,,1950,1950,,aquaNIS
Dasya baillouviana,Norway,Algae,,1966,1966,,aquaNIS
Dasya baillouviana,Sweden,Algae,established,1943,1940 - 1949,NEW_random,DAISIE
Dasya brasiliensis,Brazil,Algae,alien,1960,1960 - 1960,,GISD
Derbesia rhizophora,France,Algae,established,1972,1970 - 1979,NEW_random,DAISIE
Desmarestia viridis,France,Algae,,1978,1978,,DAISIE
Desmarestia viridis,Germany,Algae,,1881,1881 - 1881,,Rabitsch & Nehring 2017
Desmarestia viridis,Romania,Algae,,1997,1997,,DAISIE
Desmarestia viridis,Ukraine,Algae,,1992,1992,,DAISIE
Detonula pumila,Bulgaria,Algae,,1999,1999,,aquaNIS
Detonula pumila,Georgia,Algae,,2002,2002,,aquaNIS
Deucalion levringii,Australia,Algae,,1975,1975,,Hewitt et al. (2004)
Devaleraea ramentacea,Germany,Algae,,1975,1975 - 1975,,Rabitsch & Nehring 2017
Dictyota dichotoma,Germany,Algae,,1854,1854 - 1854,,Rabitsch & Nehring 2017
Dictyota flabellata,Hawaiian Islands,Algae,,1999,1999,,Carlton & Eldrege (2009)
Didymosphenia geminata,New Zealand,Algae,,2004,2004,,CABI ISC
Dinophysis islandica,Ukraine,Algae,,2001,2001,,aquaNIS
Dinophysis nasuta,Ukraine,Algae,,2008,2008,,aquaNIS
Dinophysis odiosa,Russia,Algae,,2008,2008,,aquaNIS
Dinophysis odiosa,Ukraine,Algae,,2001,2001,,aquaNIS
Dinophysis recurva,Ukraine,Algae,,2001,2001,,aquaNIS
Dinophysis schilleri,Ukraine,Algae,,2001,2001,,aquaNIS
Diplopsalopsis orbicularis,Russia,Algae,,2004,2004,,aquaNIS
Dissodinium pseudocalani,Sweden,Algae,casual,2003,2003 - 2003,,DAISIE
Distephanus speculum,Bulgaria,Algae,,1979,1979,,aquaNIS
Distephanus speculum,Georgia,Algae,,1985,1985,,aquaNIS
Distephanus speculum,Romania,Algae,,1979,1979,,aquaNIS
Distephanus speculum,Ukraine,Algae,,1979,1979,,aquaNIS
Ectocarpus caspicus,Ukraine,Algae,,1980,1980,,DAISIE
Ectocarpus siliculosus,Turkey,Algae,,1899,1899,,Cinar et al. (2005)
Endarachne binghamiae,Azores,Algae,established,1985,1985,,DAISIE
Erythrocladia irregularis,Bulgaria,Algae,,1992,1990 - 1999,NEW_random,aquaNIS
Eucampia cornuta,France,Algae,,2003,2003,,aquaNIS
Eucheuma denticulatum,Hawaiian Islands,Algae,,1970,1970,,Carlton & Eldrege (2009)
Eufolliculina lignicola,Hawaiian Islands,Algae,,1961,1961,,Carlton & Eldrege (2009)
Falkenbergia rufolanosa,Spain,Algae,alien,2003,2003 - 2003,,DAISIE
Fibrocapsa japonica,France,Algae,,1991,1991,,aquaNIS
Fibrocapsa japonica,Germany,Algae,,1992,1992 - 1992,,Rabitsch & Nehring 2017
Fibrocapsa japonica,Netherlands,Algae,established,1991,1991,,DAISIE
Fucus distichus,United Kingdom,Algae,established,1951,1951,,Roy H et al. (2012) 
Fucus evanescens,Germany,Algae,,1990,1990 - 1990,,Rabitsch & Nehring 2017
Fucus evanescens,Sweden,Algae,,1924,1924,,aquaNIS
Fucus spiralis,Spain,Algae,established,1978,1975 - 1980,NEW_random,DAISIE
Galaxaura rugosa,Lebanon,Algae,established,1999,1999,,DAISIE
Galaxaura rugosa,Syria,Algae,established,1999,1999,,DAISIE
Ganonema farinosum,Cyprus,Algae,alien,1997,1997,,DAISIE
Ganonema farinosum,Turkey,Algae,,1899,1899,,Cinar et al. (2005)
Gelidiella nigrescens,Turkey,Algae,,2009,2000 - 2009,NEW_random,aquaNIS
Gelidiella ramellosa,Turkey,Algae,,2001,2000 - 2009,NEW_random,aquaNIS
Gelidiocolax christianae,Turkey,Algae,,2002,2000 - 2009,NEW_random,aquaNIS
Gelidium corneum,Turkey,Algae,,2006,2000 - 2009,NEW_random,aquaNIS
Gelidium pulchellum,Turkey,Algae,,2008,2000 - 2009,NEW_random,aquaNIS
Gelidium pusillum,Turkey,Algae,,1991,1990 - 1999,NEW_random,aquaNIS
Gelidium spathulatum,Turkey,Algae,,2002,2000 - 2009,NEW_random,aquaNIS
Goniotrichiopsis sublittoralis,France,Algae,established,1975,1975 - 1975,,DAISIE
Goniotrichopsis sublittoralis,France,Algae,,1975,1975,,aquaNIS
Gracilaria arcuata,Turkey,Algae,,1986,1986,,Cinar et al. (2005)
Gracilaria armata,Egypt,Algae,established,1948,1948,,DAISIE
Gracilaria armata,Turkey,Algae,,2004,2000 - 2009,NEW_random,aquaNIS
Gracilaria disticha,Egypt,Algae,,1926,1926,,DAISIE
Gracilaria multipartita,Ireland,Algae,alien,1977,1977,,DAISIE
Gracilaria multipartita,United Kingdom,Algae,established,1888,1888,,Roy H et al. (2012) 
Gracilaria salicornia,Hawaiian Islands,Algae,,1950,<1950 ,,Carlton & Eldrege (2009)
Gracilaria tikvahiae,Hawaiian Islands,Algae,,1979,1970s ,NEW_random,Carlton & Eldrege (2009)
Gracilaria vermiculophylla,Denmark,Algae,,2003,2003,,aquaNIS
Gracilaria vermiculophylla,France,Algae,,1996,1996,,aquaNIS
Gracilaria vermiculophylla,Germany,Algae,,2002,2002 - 2002,,Rabitsch & Nehring 2017
