"Phylum","Class","Geographic_region","Sector","Environment","Cost","Country","Type_of_cost","Group"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",11776013.97,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",38687475.95,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",119238945.81,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",3057377.65,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Europe","Forestry","Terrestrial",17269285.1,"United Kingdom","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",46383547.57,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",164467855.11,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",5155041.94,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",10932636.82,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",21888049.96,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",67820308.81,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",50400328.47,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",95438697.87,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Public and Social Welfare","Terrestrial",370935.22,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",163223742.4,"Australia","Damage","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",190993.11,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",190993.11,"Australia","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",337234.67,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",7379664.38,"Sweden","Management","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",22039042.94,"Sweden","Management","Vertebrates"
"Chordata","Mammalia","Europe","Public and Social Welfare","Terrestrial",54835237.78,"Sweden","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Agriculture","Terrestrial",2559977.01,"United Kingdom","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",10053538.96,"United Kingdom","Management","Vertebrates"
"Chordata","Mammalia","Europe","Agriculture","Terrestrial",318342251.33,"United Kingdom","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",7545293.41,"United Kingdom","Management","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",13895567.97,"United Kingdom","Management","Vertebrates"
"Chordata","Mammalia","Europe","Forestry","Terrestrial",107720179.84,"United Kingdom","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",16417908.84,"United Kingdom","Management","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",10053538.96,"United Kingdom","Management","Vertebrates"
"Chordata","Mammalia","Europe","Forestry","Terrestrial",1189464.09,"United Kingdom","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",9401251.47,"United Kingdom","Management","Vertebrates"
"Chordata","Mammalia","North America","Authorities-Stakeholders","Terrestrial",1177221.47,"United States","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Authorities-Stakeholders","Terrestrial",583600.63,"New Zealand","Management","Vertebrates"
"Chordata","Mammalia","Africa","Authorities-Stakeholders","Terrestrial",286649.47,"Seychelles","Management","Vertebrates"
"Chordata","Mammalia","North America","Mixed","Terrestrial",2553420.09,"United States","Damage","Vertebrates"
"Chordata","Mammalia","North America","Environment","Terrestrial",19928421409.21,"United States","Damage","Vertebrates"
"Chordata","Mammalia","North America","Health","Terrestrial",607943851.19,"United States","Damage","Vertebrates"
"Chordata","Mammalia","North America","Authorities-Stakeholders","Terrestrial",1688732919.97,"United States","Management","Vertebrates"
"Chordata","Mammalia","North America","Agriculture","Terrestrial",14234586.72,"United States","Damage","Vertebrates"
"Chordata","Mammalia","North America","Health","Terrestrial",346083749.06,"United States","Damage","Vertebrates"
"Chordata","Mammalia","North America","Mixed","Terrestrial",1138766937.67,"United States","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Health","Terrestrial",6917766.61,"Germany","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Mixed","Terrestrial",5865063,"Germany","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",6476232.64,"Germany","Management","Vertebrates"
"Chordata","Mammalia","Europe","Mixed","Terrestrial",18707233.85,"Germany","Damage","Vertebrates"
"Chordata","Mammalia","Africa","Health","Mixed",532830.78,"Seychelles","Damage","Vertebrates"
"Chordata","Mammalia","Africa","Health","Mixed",1665939.28,"Seychelles","Damage","Vertebrates"
"Chordata","Mammalia","Africa","Public and Social Welfare","Mixed",132645.64,"Seychelles","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",711959.66,"United Kingdom","Management","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",148737.01,"Malta","Management","Vertebrates"
"Chordata","Mammalia","Europe","Agriculture","Terrestrial",1661201995.48,"United Kingdom","Damage","Vertebrates"
"Chordata","Mammalia","Asia","Public and Social Welfare","Terrestrial",34608374905.87,"India","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",18398.33,"Lithuania","Management","Vertebrates"
"Chordata","Mammalia","Europe","Mixed","Terrestrial",20063633.23,"Germany","Damage","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",4854104.81,"Germany","Management","Vertebrates"
"Chordata","Mammalia","Europe","Authorities-Stakeholders","Terrestrial",74758.18,"Finland","Management","Vertebrates"
"Chordata","Mammalia","Oceania","Agriculture","Terrestrial",518500996.35,"Australia","Damage","Vertebrates"
"Nematoda","Chromadorea","Asia","Forestry","Terrestrial",19424777.38,"China","Damage","Invertebrates"
"Nematoda","Chromadorea","Asia","Forestry","Terrestrial",3884955476.1,"China","Damage","Invertebrates"
"Mollusca","Gastropoda","Europe","Public and Social Welfare","Terrestrial",43290977.2,"Sweden","Damage","Invertebrates"
"Mollusca","Gastropoda","Asia","Agriculture","Aquatic",138570754.02,"Philippines","Damage","Invertebrates"
"Arthropoda","Arachnida","Oceania","Agriculture","Terrestrial",241812951.7,"Australia","Damage","Arthropods"
"Nematoda","Chromadorea","Europe","Authorities-Stakeholders","Terrestrial",207277.58,"Sweden","Management","Invertebrates"
"Chordata","Amphibia","Europe","Authorities-Stakeholders","Mixed",50371.43,"United Kingdom","Management","Vertebrates"
"Mixed","Mixed","Europe","Authorities-Stakeholders","Mixed",84318.31,"United Kingdom","Management",NA
"Chordata","Amphibia","Oceania","Authorities-Stakeholders","Terrestrial",757364.11,"Australia","Management","Vertebrates"
"Chordata","Amphibia","Oceania","Authorities-Stakeholders","Terrestrial",105063.26,"Australia","Management","Vertebrates"
"Chordata","Amphibia","Oceania","Authorities-Stakeholders","Terrestrial",1910.55,"Australia","Management","Vertebrates"
"Chordata","Amphibia","Oceania","Authorities-Stakeholders","Terrestrial",687431.88,"Australia","Management","Vertebrates"
"Chordata","Mixed","North America","Authorities-Stakeholders","Terrestrial",7063328.83,"United States","Management","Vertebrates"
"Chordata","Reptilia","North America","Mixed","Terrestrial",218272.62,"United States","Damage","Vertebrates"
"Chordata","Reptilia","North America","Authorities-Stakeholders","Terrestrial",1362721.8,"United States","Management","Vertebrates"
"Chordata","Aves","Oceania","Agriculture","Terrestrial",279001727.05,"Australia","Mixed","Vertebrates"
"Chordata","Aves","Oceania","Agriculture","Terrestrial",201525.26,"New Zealand","Damage","Vertebrates"
"Chordata","Aves","North America","Agriculture","Terrestrial",1138766937.67,"United States","Damage","Vertebrates"
"Chordata","Aves","North America","Agriculture","Terrestrial",1823881.82,"United States","Damage","Vertebrates"
"Chordata","Aves","Europe","Agriculture","Mixed",2299895.4,"United Kingdom","Damage","Vertebrates"
"Chordata","Aves","Europe","Agriculture","Semi-aquatic",43972.52,"United Kingdom","Damage","Vertebrates"
"Chordata","Aves","Europe","Agriculture","Terrestrial",17369.46,"United Kingdom","Damage","Vertebrates"
"Chordata","Aves","North America","Authorities-Stakeholders","Terrestrial",294305.37,"United States","Management","Vertebrates"
"Chordata","Aves","North America","Mixed","Terrestrial",5016723.87,"United States","Damage","Vertebrates"
"Chordata","Aves","North America","Authorities-Stakeholders","Terrestrial",1565804539.3,"United States","Management","Vertebrates"
"Chordata","Aves","Europe","Agriculture","Terrestrial",4676808.46,"Germany","Damage","Vertebrates"
"Chordata","Aves","North America","Agriculture","Terrestrial",251029229.78,"United States","Damage","Vertebrates"
"Chordata","Aves","Europe","Mixed","Terrestrial",373770449,"United Kingdom","Damage","Vertebrates"
"Chordata","Aves","Europe","Authorities-Stakeholders","Mixed",31744.45,"France","Management","Vertebrates"
"Mixed","Mixed","Oceania","Mixed","Mixed",1579080056.82,"New Zealand","Damage",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",139206439.04,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",149320814.7,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",386864406.17,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",439137000.34,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",145828309.82,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",204693357.05,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",42968583.72,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",56796001.02,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",14126657.66,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",16796812.33,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",12360825.45,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",14092240.85,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",5444649.31,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",6690255.76,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",5003191.26,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",4267427.84,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",898914151.42,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",802914297.82,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",147369650.7,"United States","Management",NA
"Mixed","Mixed","Asia","Mixed","Mixed",118093437306.98,"India","Damage",NA
"Mixed","Mixed","South America","Mixed","Mixed",55283301420.63,"Brazil","Damage",NA
"Mixed","Mixed","Oceania","Authorities-Stakeholders","Mixed",60910739.83,"New Zealand","Management",NA
"Mixed","Mixed","Africa","Authorities-Stakeholders","Mixed",73067.51,"Seychelles","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",1341420.61,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",2997987.95,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",1003871.72,"United States","Management",NA
"Mixed","Mixed","North America","Agriculture","Mixed",99069874681.49,"United States","Damage",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",12618803.85,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",2901234.71,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",6178580.63,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",41225059.82,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",681360.9,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",4322553.54,"United States","Management",NA
"Mixed","Mixed","Oceania","Authorities-Stakeholders","Mixed",4326970.44,"Australia","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",445149766.92,"United States","Management",NA
"Mixed","Mixed","North America","Authorities-Stakeholders","Mixed",526104.59,"United States","Management",NA
"Mixed","Mixed","Europe","Authorities-Stakeholders","Mixed",7451.29,"Austria","Management",NA
"Mixed","Mixed","Europe","Authorities-Stakeholders","Mixed",16098.54,"Lithuania","Management",NA
"Arthropoda","Insecta","Asia","Agriculture","Terrestrial",1300000,"China","Damage","Arthropods"
"Arthropoda","Insecta","Asia","Authorities-Stakeholders","Terrestrial",1900000,"China","Management","Arthropods"
"Arthropoda","Insecta","Oceania","Authorities-Stakeholders","Terrestrial",1117068.6,"New Zealand","Management","Arthropods"
"Arthropoda","Insecta","North America","Mixed","Terrestrial",9227378.2,"United States","Mixed","Arthropods"
"Arthropoda","Insecta","North America","Agriculture","Terrestrial",8634427.54,"United States","Damage","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",2989342.42,"United States","Management","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",86350.76,"Austria","Management","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",136473.9,"France","Management","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",193544.8,"Germany","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",42738740.59,"Canada","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",32290652.19,"United States","Management","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",248134.36,"Italy","Management","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",930503.85,"Netherlands","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",2745860.58,"Canada","Management","Arthropods"
"Arthropoda","Insecta","North America","Agriculture","Terrestrial",225558637.08,"United States","Mixed","Arthropods"
"Arthropoda","Insecta","North America","Agriculture","Terrestrial",338337955.63,"United States","Damage","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",150372424.72,"United States","Management","Arthropods"
"Arthropoda","Insecta","Oceania","Agriculture","Terrestrial",5527133.73,"Australia","Damage","Arthropods"
"Arthropoda","Insecta","Oceania","Authorities-Stakeholders","Terrestrial",9672484.03,"Australia","Management","Arthropods"
"Arthropoda","Arachnida","North America","Agriculture","Terrestrial",3546591005.46,"United States","Damage","Arthropods"
"Arthropoda","Insecta","Europe","Agriculture","Terrestrial",163340626.96,"Netherlands","Damage","Arthropods"
"Arthropoda","Insecta","Africa","Authorities-Stakeholders","Terrestrial",65508856.46,"Libya","Management","Arthropods"
"Arthropoda","Insecta","Asia","Authorities-Stakeholders","Terrestrial",3736678.02,"Korea, Republic of","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",427048.92,"United States","Management","Arthropods"
"Arthropoda","Insecta","North America","Forestry","Terrestrial",1092204354.55,"Canada","Damage","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",476166.74,"Italy","Management","Arthropods"
"Arthropoda","Insecta","North America","Forestry","Terrestrial",317588044.47,"Canada","Damage","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",28874156.3,"Germany","Management","Arthropods"
"Arthropoda","Insecta","North America","Forestry","Terrestrial",260505807.25,"Canada","Damage","Arthropods"
"Arthropoda","Insecta","North America","Public and Social Welfare","Terrestrial",15658045392.95,"United States","Mixed","Arthropods"
"Arthropoda","Insecta","Europe","Forestry","Terrestrial",55582.27,"United Kingdom","Management","Arthropods"
"Arthropoda","Insecta","Europe","Forestry","Terrestrial",6199723.03,"United Kingdom","Damage","Arthropods"
"Arthropoda","Insecta","Europe","Agriculture","Terrestrial",1173012.6,"Germany","Damage","Arthropods"
"Arthropoda","Insecta","North America","Agriculture","Terrestrial",2214299361.66,"Canada","Damage","Arthropods"
"Arthropoda","Insecta","North America","Forestry","Terrestrial",2085270835.33,"Canada","Damage","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",17986276.9,"United States","Management","Arthropods"
"Arthropoda","Insecta","North America","Agriculture","Terrestrial",3188591080.79,"Canada","Damage","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",118219700.18,"United States","Management","Arthropods"
"Arthropoda","Insecta","North America","Public and Social Welfare","Terrestrial",1332473386.18,"United States","Mixed","Arthropods"
"Arthropoda","Insecta","Asia","Agriculture","Terrestrial",1299403090.49,"India","Damage","Arthropods"
"Arthropoda","Insecta","North America","Agriculture","Terrestrial",28997031.21,"United States","Damage","Arthropods"
"Arthropoda","Insecta","North America","Agriculture","Terrestrial",48899027.43,"United States","Damage","Arthropods"
"Arthropoda","Insecta","North America","Agriculture","Terrestrial",29901635.92,"United States","Mixed","Arthropods"
"Mixed","Mixed","North America","Authorities-Stakeholders","Terrestrial",42674278.35,"United States","Management",NA
"Mixed","Mixed","North America","Forestry","Terrestrial",690110661.1,"Canada","Damage",NA
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",48257163.95,"United States","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",12868577.05,"United States","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",2707143.99,"United States","Management","Arthropods"
"Arthropoda","Insecta","Oceania","Authorities-Stakeholders","Terrestrial",86017511.15,"New Zealand","Management","Arthropods"
"Arthropoda","Insecta","North America","Forestry","Terrestrial",272523.32,"United States","Damage","Arthropods"
"Arthropoda","Insecta","Oceania","Forestry","Terrestrial",249880869.89,"New Zealand","Damage","Arthropods"
"Mixed","Mixed","Oceania","Authorities-Stakeholders","Terrestrial",690128774.84,"Australia","Management",NA
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",142345867.21,"United States","Management","Arthropods"
"Arthropoda","Mixed","North America","Authorities-Stakeholders","Terrestrial",227350896.74,"United States","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",31255286.37,"United States","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",104929578.41,"United States","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",50420706.51,"United States","Management","Arthropods"
"Arthropoda","Insecta","South America","Authorities-Stakeholders","Terrestrial",12977300.8,"Argentina","Management","Arthropods"
"Arthropoda","Insecta","South America","Agriculture","Terrestrial",116795707.23,"Argentina","Damage","Arthropods"
"Arthropoda","Insecta","Africa","Authorities-Stakeholders","Terrestrial",14323.55,"Togo","Management","Arthropods"
"Arthropoda","Insecta","Africa","Authorities-Stakeholders","Terrestrial",14323.55,"Benin","Management","Arthropods"
"Arthropoda","Insecta","Africa","Authorities-Stakeholders","Terrestrial",14323.55,"Kenya","Management","Arthropods"
"Arthropoda","Insecta","Africa","Authorities-Stakeholders","Terrestrial",16796.81,"Tanzania, United Republic of","Management","Arthropods"
"Arthropoda","Insecta","Oceania","Agriculture","Terrestrial",155217710.27,"New Zealand","Damage","Arthropods"
"Arthropoda","Insecta","Oceania","Health","Terrestrial",15573683.3,"New Zealand","Damage","Arthropods"
"Mixed","Mixed","North America","Forestry","Mixed",9922195985.83,"United States","Damage",NA
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",2135188008.13,"United States","Management","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",738898.98,"United Kingdom","Management","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",2469181.32,"United Kingdom","Management","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",269589.16,"Finland","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",1622785.34,"United States","Management","Arthropods"
"Arthropoda","Insecta","Europe","Authorities-Stakeholders","Terrestrial",683752.58,"France","Management","Arthropods"
"Arthropoda","Insecta","Asia","Agriculture","Terrestrial",23256827936.75,"India","Damage","Arthropods"
"Arthropoda","Insecta","Central America","Agriculture","Terrestrial",24384262.97,"Grenada","Damage","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",310623.75,"United States","Management","Arthropods"
"Arthropoda","Insecta","North America","Authorities-Stakeholders","Terrestrial",84176734.99,"United States","Management","Arthropods"
"Tracheophyta","Polypodiopsida","Europe","Authorities-Stakeholders","Aquatic",791647.53,"United Kingdom","Management","Plants"
"Chordata","Actinopterygii","Europe","Authorities-Stakeholders","Aquatic",397878.66,"United Kingdom","Management","Vertebrates"
"Tracheophyta","Magnoliopsida","Europe","Authorities-Stakeholders","Aquatic",235729.84,"United Kingdom","Management","Plants"
"Mollusca","Bivalvia","Europe","Authorities-Stakeholders","Aquatic",7472744.65,"United Kingdom","Management","Invertebrates"
"Tracheophyta","Liliopsida","Europe","Authorities-Stakeholders","Aquatic",20719056.76,"United Kingdom","Management","Plants"
"Tracheophyta","Liliopsida","Europe","Authorities-Stakeholders","Aquatic",7777644.93,"United Kingdom","Management","Plants"
"Tracheophyta","Magnoliopsida","Europe","Authorities-Stakeholders","Aquatic",667618.82,"United Kingdom","Management","Plants"
"Tracheophyta","Liliopsida","Europe","Authorities-Stakeholders","Aquatic",2088202.61,"United Kingdom","Management","Plants"
"Tracheophyta","Magnoliopsida","Europe","Authorities-Stakeholders","Aquatic",18267.11,"United Kingdom","Management","Plants"
"Tracheophyta","Magnoliopsida","Europe","Authorities-Stakeholders","Aquatic",2014044.89,"United Kingdom","Management","Plants"
"Arthropoda","Malacostraca","Europe","Authorities-Stakeholders","Aquatic",3931658.41,"United Kingdom","Management","Arthropods"
"Mollusca","Bivalvia","Europe","Public and Social Welfare","Aquatic",297761.23,"Portugal","Damage","Invertebrates"
"Ochrophyta","Bacillariophyceae","Oceania","Mixed","Aquatic",8042174.34,"New Zealand","Damage","Plants"
"Chordata","Cephalaspidomorphi","North America","Authorities-Stakeholders","Aquatic",20683713.26,"United States","Management","Vertebrates"
"Mixed","Mixed","Africa","Environment","Mixed",998023453.38,"South Africa","Damage",NA
"Mixed","Mixed","Africa","Authorities-Stakeholders","Aquatic",92125241.85,"South Africa","Management",NA
