"Phylum","Environment","Sector","Type_of_cost","country","Cost"
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","FR",35334.8501087621
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","GB",931533.44019595
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","HR",899852.524069803
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","HU",1856005.56202346
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","IT",1663720.07544485
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","JP",54678.0039003122
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","LK",42151.1017023013
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","LT",454861.470224509
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","LU",487805.806262919
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","LV",498371.107303649
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","NL",241598.259210671
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","NO",1738051.54518347
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","PT",428997.803091925
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","RU",18852431.1908911
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","SE",4575789.52072537
"Arthropoda","Aquatic","Authorities-Stakeholders","Damage","US",86900457.8231139
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","AG",149488.678966052
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","AO",175853.965297942
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","AR",1193621.6477536
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","AT",65381.6776310056
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","AU",1950305.53507945
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BB",196860.744313685
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BE",2152649.18589663
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BG",156292.236085364
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BI",65260.3229569525
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BJ",31913.1144460434
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BR",21495519.8858302
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BS",105471.4412742
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BT",97174.8640561492
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BW",231451.934007431
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","BZ",114054.989171434
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CA",168779176.763225
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CD",307936.209324072
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CF",152185.518675221
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CG",107573.301955657
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CH",331175.665845498
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CI",32615.7880011757
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CM",94491.6103506543
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CN",278532.097924413
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CO",296514.553105697
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CR",255516.756698963
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CU",880538.857407932
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","CZ",258387.044470664
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","DE",5756587.76570548
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","DK",137885.68418936
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","DM",140375.057649589
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","DO",341924.20321461
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","DZ",783182.739003515
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","EC",701518.08375803
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","EE",181953.868218905
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","EG",191020.030205914
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","ES",107502.233620319
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","ET",119130.390166198
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","FI",587618.817350248
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","FJ",80970.7440406434
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","FR",35866.0339251641
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","GA",148168.479619776
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","GB",552931.816864013
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","GD",168070.707101924
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","GH",475702.433657787
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","GM",62542.4735217863
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","GN",61484.226420317
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","GQ",56037.0705040881
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","GT",495093.038475215
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","HN",430325.264163721
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","HR",58115.9773618907
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","HT",95804.9238477262
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","HU",244768.512347394
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","ID",430178.394035181
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","IE",73189.4125033956
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","IN",119089.619638451
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","IR",630985.657830854
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","IT",1157808.11925925
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","JM",247494.934072719
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","JP",50365.2054110564
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","KE",94377.6692534093
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","KH",62522.2387552257
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","KM",77631.2776905777
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","KN",132874.334713659
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","KR",887567.495004714
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","LA",119052.018555608
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","LK",175984.972419572
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","LT",53820.7425463701
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","LU",205386.689492949
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","LV",133471.514817579
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","MG",101055.032685003
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","ML",219409.116805531
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","MM",182303.786415623
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","MU",242418.986787877
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","MV",244128.435552929
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","MW",36283.7444239159
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","MX",108161.964790802
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","MY",1111037.53778764
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","MZ",107849.684042123
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","NG",124998.183905246
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","NI",95154.669773088
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","NL",5867942.24210954
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","NO",439794.961209372
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","NP",260549.981507153
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","NZ",3082602.53698145
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","PA",138675.952641178
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","PE",599683.876929166
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","PG",199401.193629229
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","PH",841604.901486235
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","PL",433078.333696006
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","PT",706367.585606838
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","PY",315958.43775574
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","QA",164841.496603711
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","RO",581342.893511425
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","RU",4402187.89250756
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","RW",97966.054620811
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","SC",109583.697689804
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","SE",16226817.8005883
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","SG",307178.065744393
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","SI",124182.559982166
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","SR",105933.171680847
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","ST",64880.0276343296
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","SV",210227.671511774
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","SZ",53357.6619853892
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","TD",155395.402674783
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","TG",22893.0094606351
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","TH",356698.172506415
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","TL",59277.8273773
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","TO",111749.463770039
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","TR",130775.548151876
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","TT",302985.999059806
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","TZ",35970.7903528953
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","UA",222905.537467239
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","UG",80635.640857774
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","US",33400114.687042
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","UY",69156.8438042992
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","VC",163575.811495794
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","VE",29026.959079578
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","VN",411873.765547522
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","WS",125625.221111418
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","ZA",2636517.01772887
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","ZM",154599.028881536
"Arthropoda","Aquatic","Authorities-Stakeholders","Management","ZW",155435.275660902
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","AT",843446.316067105
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","BE",651504.039792195
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","CA",256001843.532036
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","CH",637830.961514418
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","CZ",660930.544045114
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","DE",5392578.0813771
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","DK",263839.666316253
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","EE",546584.314669381
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","ES",143933.179705982
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","FI",4058646.38571877
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","FR",14940.5695485927
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","GB",1217107.72436002
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","HR",811052.605482967
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","HU",1587860.11935588
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","IT",1803469.65536552
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","JP",54212.3003230088
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","LK",48137.405284258
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","LT",457494.235167837
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","LU",493675.435885031
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","LV",502261.76878314
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","NL",251344.217750837
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","NO",1584310.7924434
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","PT",492020.960313005
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","RU",22749642.6817471
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","SE",4270395.91805145
"Arthropoda","Aquatic","Authorities-Stakeholders","Mixed","US",152970627.742734
"Arthropoda","Aquatic","Fishery","Damage","CN",34806086.7285177
"Arthropoda","Aquatic","Fishery","Damage","KG",4191733.32366588
"Arthropoda","Aquatic","Fishery","Damage","MN",8683900.65315229
"Arthropoda","Aquatic","Fishery","Damage","TJ",3391438.18110729
"Arthropoda","Aquatic","Fishery","Management","AD",415126.324923128
"Arthropoda","Aquatic","Fishery","Management","AT",463925.634317903
"Arthropoda","Aquatic","Fishery","Management","BE",1171360.89975604
"Arthropoda","Aquatic","Fishery","Management","BR",91180851.9468482
"Arthropoda","Aquatic","Fishery","Management","CA",69245197.7374979
"Arthropoda","Aquatic","Fishery","Management","CH",1285526.72621616
"Arthropoda","Aquatic","Fishery","Management","CN",1090214.81423099
"Arthropoda","Aquatic","Fishery","Management","CO",1788136.06052376
"Arthropoda","Aquatic","Fishery","Management","CR",542179.108133315
"Arthropoda","Aquatic","Fishery","Management","CY",200523.448872513
"Arthropoda","Aquatic","Fishery","Management","CZ",798480.534862716
"Arthropoda","Aquatic","Fishery","Management","DE",1023206.33371305
"Arthropoda","Aquatic","Fishery","Management","DO",795622.110449899
"Arthropoda","Aquatic","Fishery","Management","EC",923081.874931147
"Arthropoda","Aquatic","Fishery","Management","EE",253351.912666406
"Arthropoda","Aquatic","Fishery","Management","EG",439728.988417627
"Arthropoda","Aquatic","Fishery","Management","ES",140445.419523919
"Arthropoda","Aquatic","Fishery","Management","FR",139920.006632643
"Arthropoda","Aquatic","Fishery","Management","GB",1214227.66653813
"Arthropoda","Aquatic","Fishery","Management","GT",1269285.33425582
"Arthropoda","Aquatic","Fishery","Management","HR",291806.041100373
"Arthropoda","Aquatic","Fishery","Management","HU",1126344.09245413
"Arthropoda","Aquatic","Fishery","Management","IL",935916.450313414
"Arthropoda","Aquatic","Fishery","Management","IT",1972116.68941931
"Arthropoda","Aquatic","Fishery","Management","JP",66593.1658699724
"Arthropoda","Aquatic","Fishery","Management","KE",141541.484902781
"Arthropoda","Aquatic","Fishery","Management","KI",87818.3702784368
"Arthropoda","Aquatic","Fishery","Management","KR",1250422.59658182
"Arthropoda","Aquatic","Fishery","Management","LU",365270.39049191
"Arthropoda","Aquatic","Fishery","Management","MT",567925.718105103
"Arthropoda","Aquatic","Fishery","Management","MX",33680.4380747584
"Arthropoda","Aquatic","Fishery","Management","NL",1182018.82089101
"Arthropoda","Aquatic","Fishery","Management","PE",1415423.72870835
"Arthropoda","Aquatic","Fishery","Management","PL",1268856.16470921
"Arthropoda","Aquatic","Fishery","Management","PT",812668.818529355
"Arthropoda","Aquatic","Fishery","Management","RW",181843.38462284
"Arthropoda","Aquatic","Fishery","Management","SK",399272.720860074
"Arthropoda","Aquatic","Fishery","Management","TH",2252092.5762498
"Arthropoda","Aquatic","Fishery","Management","UG",146869.286784684
"Arthropoda","Aquatic","Fishery","Management","US",128179090.678603
"Arthropoda","Aquatic","Fishery","Management","ZA",3064222.89378414
"Arthropoda","Aquatic","Mixed","Mixed","AT",6869619.85110364
"Arthropoda","Aquatic","Mixed","Mixed","BE",895650.138236367
"Arthropoda","Aquatic","Mixed","Mixed","CA",25757519.1511889
"Arthropoda","Aquatic","Mixed","Mixed","CH",2168179.32227983
"Arthropoda","Aquatic","Mixed","Mixed","CZ",1923650.65259374
"Arthropoda","Aquatic","Mixed","Mixed","DE",4147683.17999773
"Arthropoda","Aquatic","Mixed","Mixed","DK",719759.507935734
"Arthropoda","Aquatic","Mixed","Mixed","EE",1484810.34610951
"Arthropoda","Aquatic","Mixed","Mixed","ES",979416.943239717
"Arthropoda","Aquatic","Mixed","Mixed","FI",5060630.26965408
"Arthropoda","Aquatic","Mixed","Mixed","FR",644347.325322596
"Arthropoda","Aquatic","Mixed","Mixed","GB",2284942.75449649
"Arthropoda","Aquatic","Mixed","Mixed","HR",5014215.57910354
"Arthropoda","Aquatic","Mixed","Mixed","HU",13717027.9696555
"Arthropoda","Aquatic","Mixed","Mixed","IT",4397463.65555021
"Arthropoda","Aquatic","Mixed","Mixed","JP",329376.219690461
"Arthropoda","Aquatic","Mixed","Mixed","LK",24528.7626323027
"Arthropoda","Aquatic","Mixed","Mixed","LT",1741396.51245476
"Arthropoda","Aquatic","Mixed","Mixed","LU",965033.577756027
"Arthropoda","Aquatic","Mixed","Mixed","LV",1301128.08810368
"Arthropoda","Aquatic","Mixed","Mixed","NL",66337.018011617
"Arthropoda","Aquatic","Mixed","Mixed","NO",9463904.78811621
"Arthropoda","Aquatic","Mixed","Mixed","PT",1351842.27109062
"Arthropoda","Aquatic","Mixed","Mixed","RU",13392759.0615844
"Arthropoda","Aquatic","Mixed","Mixed","SE",5021865.85681111
"Arthropoda","Aquatic","Mixed","Mixed","US",89887048.431336
"Arthropoda","Mixed","Health","Management","AD",407315.105696673
"Arthropoda","Mixed","Health","Management","AR",563669.211543891
"Arthropoda","Mixed","Health","Management","BE",1073151.33082377
"Arthropoda","Mixed","Health","Management","BR",287338471.069271
"Arthropoda","Mixed","Health","Management","CL",104466.34932429
"Arthropoda","Mixed","Health","Management","CU",3028331.57582359
"Arthropoda","Mixed","Health","Management","DZ",1083712.44771978
"Arthropoda","Mixed","Health","Management","EG",532742.643224471
"Arthropoda","Mixed","Health","Management","ES",160688.295238672
"Arthropoda","Mixed","Health","Management","FR",170099.421428712
"Arthropoda","Mixed","Health","Management","IT",2152950.2072729
"Arthropoda","Mixed","Health","Management","MA",1586068.29300085
"Arthropoda","Mixed","Health","Management","PT",812548.481601427
"Arthropoda","Mixed","Health","Management","US",382574444.370957
"Arthropoda","Mixed","Health","Management","UY",185508.64309188
"Arthropoda","Terrestrial","Agriculture","Damage","AD",4495503.01046198
"Arthropoda","Terrestrial","Agriculture","Damage","AE",23779931.1889236
"Arthropoda","Terrestrial","Agriculture","Damage","AF",96311064.2764126
"Arthropoda","Terrestrial","Agriculture","Damage","AG",2882817.04894609
"Arthropoda","Terrestrial","Agriculture","Damage","AL",9621692.1946203
"Arthropoda","Terrestrial","Agriculture","Damage","AM",18492077.9280314
"Arthropoda","Terrestrial","Agriculture","Damage","AO",63879383.8360778
"Arthropoda","Terrestrial","Agriculture","Damage","AR",159597361.87062
"Arthropoda","Terrestrial","Agriculture","Damage","AT",214780541.480792
"Arthropoda","Terrestrial","Agriculture","Damage","AU",369147084.944518
"Arthropoda","Terrestrial","Agriculture","Damage","AZ",25798090.7685043
"Arthropoda","Terrestrial","Agriculture","Damage","BA",160492532.973348
"Arthropoda","Terrestrial","Agriculture","Damage","BB",1969267.82484498
"Arthropoda","Terrestrial","Agriculture","Damage","BD",27961762.5622114
"Arthropoda","Terrestrial","Agriculture","Damage","BE",11475184.0262893
"Arthropoda","Terrestrial","Agriculture","Damage","BF",156903498.193236
"Arthropoda","Terrestrial","Agriculture","Damage","BG",412189205.628743
"Arthropoda","Terrestrial","Agriculture","Damage","BH",5874183.03027156
"Arthropoda","Terrestrial","Agriculture","Damage","BI",12217366.7481633
"Arthropoda","Terrestrial","Agriculture","Damage","BJ",284384762.540857
"Arthropoda","Terrestrial","Agriculture","Damage","BN",1874924.1460409
"Arthropoda","Terrestrial","Agriculture","Damage","BO",89553994.5934394
"Arthropoda","Terrestrial","Agriculture","Damage","BR",1736087440.07485
"Arthropoda","Terrestrial","Agriculture","Damage","BS",3308956.82541255
"Arthropoda","Terrestrial","Agriculture","Damage","BT",817327.313331206
"Arthropoda","Terrestrial","Agriculture","Damage","BW",41639782.8073507
"Arthropoda","Terrestrial","Agriculture","Damage","BY",13019265.2913832
"Arthropoda","Terrestrial","Agriculture","Damage","BZ",2252551.39779411
"Arthropoda","Terrestrial","Agriculture","Damage","CA",6151031674.92094
"Arthropoda","Terrestrial","Agriculture","Damage","CD",164862959.552447
"Arthropoda","Terrestrial","Agriculture","Damage","CF",12226416.1923107
"Arthropoda","Terrestrial","Agriculture","Damage","CG",20035854.3302108
"Arthropoda","Terrestrial","Agriculture","Damage","CH",32817841.5715615
"Arthropoda","Terrestrial","Agriculture","Damage","CI",33864494.0738037
"Arthropoda","Terrestrial","Agriculture","Damage","CL",13638943.6291833
"Arthropoda","Terrestrial","Agriculture","Damage","CM",189867173.560652
"Arthropoda","Terrestrial","Agriculture","Damage","CN",234124848.226251
"Arthropoda","Terrestrial","Agriculture","Damage","CO",487740486.58213
"Arthropoda","Terrestrial","Agriculture","Damage","CR",99436841.3124003
"Arthropoda","Terrestrial","Agriculture","Damage","CU",200189410.553515
"Arthropoda","Terrestrial","Agriculture","Damage","CV",4475934.55477125
"Arthropoda","Terrestrial","Agriculture","Damage","CY",8598157.39929404
"Arthropoda","Terrestrial","Agriculture","Damage","CZ",43149354.4735417
"Arthropoda","Terrestrial","Agriculture","Damage","DE",49725626.257935
"Arthropoda","Terrestrial","Agriculture","Damage","DK",10773353.3338426
"Arthropoda","Terrestrial","Agriculture","Damage","DM",2497502.76016305
"Arthropoda","Terrestrial","Agriculture","Damage","DO",14410583.5127221
"Arthropoda","Terrestrial","Agriculture","Damage","DZ",109555946.052614
"Arthropoda","Terrestrial","Agriculture","Damage","EC",275783612.997457
"Arthropoda","Terrestrial","Agriculture","Damage","EE",15391519.7153628
"Arthropoda","Terrestrial","Agriculture","Damage","EG",184741867.500478
"Arthropoda","Terrestrial","Agriculture","Damage","ER",21913525.3025857
"Arthropoda","Terrestrial","Agriculture","Damage","ES",28052433.4515056
"Arthropoda","Terrestrial","Agriculture","Damage","ET",95844013.4080795
"Arthropoda","Terrestrial","Agriculture","Damage","FI",44685715.7165862
"Arthropoda","Terrestrial","Agriculture","Damage","FJ",1982889.15212952
"Arthropoda","Terrestrial","Agriculture","Damage","FM",1076962.72183745
"Arthropoda","Terrestrial","Agriculture","Damage","FR",256736367.464002
"Arthropoda","Terrestrial","Agriculture","Damage","GA",29248796.6211776
"Arthropoda","Terrestrial","Agriculture","Damage","GB",135981485.558687
"Arthropoda","Terrestrial","Agriculture","Damage","GD",1905597.17045577
"Arthropoda","Terrestrial","Agriculture","Damage","GE",47253461.1376936
"Arthropoda","Terrestrial","Agriculture","Damage","GH",575524991.88218
"Arthropoda","Terrestrial","Agriculture","Damage","GM",11360037.6149127
"Arthropoda","Terrestrial","Agriculture","Damage","GN",67950799.4957875
"Arthropoda","Terrestrial","Agriculture","Damage","GQ",1913062.71906715
"Arthropoda","Terrestrial","Agriculture","Damage","GR",76936052.3039245
"Arthropoda","Terrestrial","Agriculture","Damage","GT",259775622.448222
"Arthropoda","Terrestrial","Agriculture","Damage","GW",2911318.85359198
"Arthropoda","Terrestrial","Agriculture","Damage","GY",17274864.8090868
"Arthropoda","Terrestrial","Agriculture","Damage","HN",118899217.13392
"Arthropoda","Terrestrial","Agriculture","Damage","HR",310382327.999606
"Arthropoda","Terrestrial","Agriculture","Damage","HT",4740287.15803241
"Arthropoda","Terrestrial","Agriculture","Damage","HU",554574798.649811
"Arthropoda","Terrestrial","Agriculture","Damage","ID",262086999.658049
"Arthropoda","Terrestrial","Agriculture","Damage","IE",25310810.6307531
"Arthropoda","Terrestrial","Agriculture","Damage","IL",29534476.5280241
